Unnamed: 0_x,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,tv_name,State Name,sd_name,d_name,Unnamed: 0_y,StateName,DistrictName,BlockName,VillageName,Contaminents,shrid2,elevation_mean,elevation_median,elevation_percentile_5,elevation_percentile_25,elevation_min,elevation_max,elevation_num_cells,elevation_std
620603,29,571,5538,611640,Madalapura,Karnataka,Gubbi,Tumkur,8,KARNATAKA,TUMKUR,GUBBI,MADALAPURA,"Fluoride : 0.850, Iron : 0.400, Chloride : 224.000, Nitrate : 7.110, Hardness : 980.000",11-29-571-05538-611640,775.2561082024433,759.5,741.0,745.0,731.0,899.0,2292,36.595941614065005
620603,29,571,5538,611640,Madalapura,Karnataka,Gubbi,Tumkur,9,KARNATAKA,TUMKUR,GUBBI,MADALAPURA,"Fluoride : 0.300, Iron : 0.300, Chloride : 232.000, Nitrate : 3.120, Hardness : 1320.000",11-29-571-05538-611640,775.2561082024433,759.5,741.0,745.0,731.0,899.0,2292,36.595941614065005
620605,29,571,5538,611642,Obalapura,Karnataka,Gubbi,Tumkur,10,KARNATAKA,TUMKUR,GUBBI,OBALAPURA,"Fluoride : 1.000, Iron : 0.200, Chloride : 224.000, Nitrate : 7.110, Hardness : 980.000",11-29-571-05538-611642,781.6819553409777,783.0,764.0,777.0,756.0,808.0,1657,9.35871951381486
620606,29,571,5538,611643,Shivapura,Karnataka,Gubbi,Tumkur,11,KARNATAKA,TUMKUR,GUBBI,SHIVAPURA,"Fluoride : 0.400, Iron : 0.300, Chloride : 136.000, Nitrate : 0.950, Hardness : 270.000",11-29-571-05538-611643,800.2220624190996,800.0,781.0,793.0,767.0,846.0,6953,11.194405022817742
620612,29,571,5538,611649,Yakkalakatte,Karnataka,Gubbi,Tumkur,12,KARNATAKA,TUMKUR,GUBBI,YAKKALAKATTE,"Fluoride : 0.250, Iron : 0.300, Chloride : 136.000, Nitrate : 0.920, Hardness : 500.000",11-29-571-05538-611649,811.5790570878769,812.0,799.0,805.0,789.0,833.0,6236,8.271763379859946
620668,29,571,5538,611705,Kachenahalli,Karnataka,Gubbi,Tumkur,0,KARNATAKA,TUMKUR,GUBBI,KACHENAHALLI,"Fluoride : 1.000, Iron : 0.300, Chloride : 170.000, Nitrate : 5.000, Hardness : 500.000",11-29-571-05538-611705,833.205611775529,833.0,824.0,830.0,820.0,845.0,2174,5.085881188075216
620736,29,571,5538,611773,Hesarahalli,Karnataka,Gubbi,Tumkur,2,KARNATAKA,TUMKUR,GUBBI,HESARAHALLI,"Fluoride : 1.000, Iron : 0.300, Chloride : 360.000, Nitrate : 5.000, Hardness : 400.000",11-29-571-05538-611773,786.3067807768268,785.0,782.0,784.0,778.0,799.0,1519,3.870266133745359
620740,29,571,5538,611777,Bommenahalli,Karnataka,Gubbi,Tumkur,1,KARNATAKA,TUMKUR,GUBBI,BOMMENAHALLI,"Fluoride : 1.500, Iron : 0.300, Chloride : 340.000, Nitrate : 5.000, Hardness : 465.000",11-29-571-05538-611777,800.0520179372197,798.0,792.0,795.0,787.0,823.0,2230,7.005890088199314
620762,29,571,5538,611799,Nittur,Karnataka,Gubbi,Tumkur,3,KARNATAKA,TUMKUR,GUBBI,NITTUR,"Fluoride : 1.500, Iron : 0.300, Chloride : 580.000, Nitrate : 10.000, Hardness : 550.000",11-29-571-05538-611799,792.0121918542336,793.0,784.0,786.0,780.0,806.0,7464,5.758816933483314
620866,29,571,5538,611903,Peddanahalli,Karnataka,Gubbi,Tumkur,6,KARNATAKA,TUMKUR,GUBBI,PEDDANAHALLI,"Fluoride : 1.000, Iron : 0.300, Chloride : 320.000, Nitrate : 5.000, Hardness : 950.000",11-29-571-05538-611903,764.2664796633941,765.0,759.0,761.0,755.0,772.0,2139,3.4651883013007265
620868,29,571,5538,611905,Kunaghatta,Karnataka,Gubbi,Tumkur,4,KARNATAKA,TUMKUR,GUBBI,KUNNAGHATTA,,11-29-571-05538-611905,781.5354374307863,781.0,768.0,773.0,763.0,805.0,3612,10.07098922264931
620873,29,571,5538,611910,Melekallahalli,Karnataka,Gubbi,Tumkur,5,KARNATAKA,TUMKUR,GUBBI,MELEKALLAHALLI,"Fluoride : 1.000, Iron : 0.300, Chloride : 300.000, Nitrate : 5.000, Hardness : 400.000",11-29-571-05538-611910,769.0222429615803,770.0,760.0,766.0,756.0,784.0,6429,4.604599458480953
